name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Audi Q3 2021,2021,2973200.0,56528.0,DIESEL,individual,MANUAL,Test Drive Car
Volkswagen Vento 2019,2019,532900.0,62176.0,Diesel ,Dealer,MANUAL,First Owner
Maruti Swift 2014,2014,155800.0,121748.0, Petrol,Individual,MANUAL,Second Owner
Audi A4 2007,2007,447300.0,213348.0,DIESEL,Dealer,manual,First Owner
Volkswagen Polo 2021,2021,551400.0,43846.0,PETROL,Dealer,Manual,Second Owner
Ford EcoSport 2013,2013,148100.0,139544.0,Diesel,individual,manual,Third Owner
Ford Endeavour 2015,2015,191200.0,127047.0,diesel,individual,Manual,Third Owner
Skoda Rapid 2017,2017,306700.0,93393.0,Petrol,DEALER ,MANUAL,First Owner
Ford Figo 2014,2014,160300.0,121204.0,Electric,Dealer,MANUAL,Fourth & Above Owner
Hyundai Verna 2012,2012,144900.0,136512.0,Diesel,Trustmark Dealer,Manual,First Owner
Maruti Wagon R 2017,2017,273600.0,104439.0,DIESEL,Individual,automatic,First Owner
Volkswagen Vento 2007,2007,87000.0,219731.0,Diesel,individual,manual,First Owner
Ford Endeavour 2020,2020,579900.0,51216.0,Diesel,dealer,manual,First Owner
Mahindra Scorpio 2011,2011,129700.0,161318.0,PETROL,Individual,MANUAL,First Owner
Hyundai Creta 2011,2011,92300.0,164686.0,Petrol,individual,manual,Second Owner
Tata Harrier 2020,2020,311100.0,63001.0,Diesel,INDIVIDUAL,MANUAL,Fourth & Above Owner
Toyota Etios 2018,2018,380700.0,81970.0,diesel,dealer,Manual,Fourth & Above Owner
Toyota Yaris 2014,2014,265000.0,128264.0, Petrol,DEALER ,MANUAL,First Owner
Maruti Alto 2016,2016,278400.0,86236.0,Diesel ,Dealer, Automatic,First Owner
Ford Figo 2014,2014,161100.0,126178.0, Petrol,trustmark dealer,manual,Second Owner
Mahindra XUV300 2020,2020,400800.0,53497.0,PETROL,Individual,MANUAL,Fourth & Above Owner
Hyundai Santro 2013,2013,115500.0,141846.0,Diesel,Dealer,MANUAL,Second Owner
Hyundai Venue 2023,2023,690600.0,26226.0,PETROL,INDIVIDUAL,MANUAL,Second Owner
Ford Aspire 2022,2022,562400.0,22475.0,petrol,Dealer,Manual,First Owner
Honda Jazz 2019,2019,332300.0,75413.0,PETROL,Dealer,MANUAL,Third Owner
Volkswagen Polo 2011,2011,130900.0,169205.0,PETROL,Dealer,Manual,First Owner
Maruti Dzire 2011,2011,89900.0,161607.0,Petrol,DEALER ,Automatic,Second Owner
Mahindra XUV300 2020,2020,488400.0,63992.0,Petrol,Trustmark Dealer,MANUAL,First Owner
  Tata Safari 2010  ,2010,86500.0,172758.0,Petrol,Dealer,manual,Test Drive Car
